191Y,Slovenia,"Hrušica, Slovenia ",SAMEA4762870,Ursus arctos
Ge,Georgia,"Georgia, Great Caucasus ",SAMEA4762871,Ursus arctos
Russia,Russia,"Balakhtinsky District, Russia",SAMEA4762872,Ursus arctos
Slovakia1,Slovakia,Slovakia,SAMN07422269,Ursus arctos
SLK2,Slovakia,Slovakia,SAMN07422270,Ursus arctos
Spain1,Spain,Spain,SAMN07422271,Ursus arctos
Slovenia1,Slovenia,Slovenia,SAMN07422272,Ursus arctos
APN4,Italy,Central Italy ,SAMN07422264,Ursus arctos
APN3,Italy,Central Italy ,SAMN07422263,Ursus arctos
APN6,Italy,Central Italy ,SAMN07422266,Ursus arctos
APN5,Italy,Central Italy ,SAMN07422265,Ursus arctos
Italy1,Italy,Italy,SAMN07422262,Ursus arctos
APN1,Italy,Central Italy ,SAMN07422261,Ursus arctos
Greece1,Greece,Greece,SAMN07422268,Ursus arctos
GRE2,Greece,Greece,SAMN07422267,Ursus arctos
APN2,Italy,Central Italy ,SAMN07422262,Ursus arctos
Finland,Finland,Finland,SAMN02256315,Ursus arctos
SouthSweden,Sweden,Sweden,SAMN02256313,Ursus arctos
ABC4,Alaska,Alaska,SAMN02256319,Ursus arctos
Montana,USA,USA,SAMN02256322,Ursus arctos
ABC1,Alaska,Alaska,SAMN02256316,Ursus arctos
ABC2,Alaska,Alaska,SAMN02256317,Ursus arctos
ABC3,Alaska,Alaska,SAMN02256318,Ursus arctos
ABC5,Alaska,Alaska,SAMN02256320,Ursus arctos
KB02,Polar Bear,Western Greenland,SAMN02261865,Ursus maritimus
Alaska12,Alaska,Alaska,SRS16196576,Ursus arctos
Russia_Kola1,Russia,Russia,SRS16196575,Ursus arctos
Rumania5,Romania,Romania,SRS16196574,Ursus arctos
Rumania4,Romania,Romania,SRS16196573,Ursus arctos
Rumania3,Romania,Romania,SRS16196572,Ursus arctos
Rumania2,Romania,Romania,SRS16196571,Ursus arctos
Rumania1,Romania,Romania,SRS16196570,Ursus arctos
Norway8,Norway,Norway,SRS16196568,Ursus arctos
Norway7,Norway,Norway,SRS16196569,Ursus arctos
Norway6,Norway,Norway,SRS16196567,Ursus arctos
Alaska11,Alaska,Alaska,SRS16196565,Ursus arctos
Norway4,Norway,Norway,SRS16196564,Ursus arctos
Norway3,Norway,Norway,SRS16196563,Ursus arctos
Norway2,Norway,Norway,SRS16196562,Ursus arctos
Norway1,Norway,Norway,SRS16196561,Ursus arctos
Kodiak5,Alaska,Alaska,SRS16196560,Ursus arctos
Kodiak4,Alaska,Alaska,SRS16196559,Ursus arctos
Kodiak3,Alaska,Alaska,SRS16196558,Ursus arctos
Kodiak2,Alaska,Alaska,SRS16196557,Ursus arctos
Kodiak1,Alaska,Alaska,SRS16196556,Ursus arctos
Kamtschatka4,Russia,"Kamtschatka, Russia",SRS16196555,Ursus arctos
Alaska1,Alaska,Alaska,SRS16196554,Ursus arctos
Kamtschatka3,Russia,"Kamtschatka, Russia",SRS16196553,Ursus arctos
IranGudrun,Iran,Iran,SRS16196552,Ursus arctos
Hokkaido1,Far East,Japan,SRS16196551,Ursus arctos
Himalaya1,Himalaya,Himalaya,SRS16196550,Ursus arctos
Finland3,Finland,Finland,SRS16196549,Ursus arctos
Finland2,Finland,Finland,SRS16196548,Ursus arctos
FarEast11,Far East,Far East,SRS16196547,Ursus arctos
FarEast10,Far East,Far East,SRS16196546,Ursus arctos
FarEast9,Far East,Far East,SRS16196545,Ursus arctos
AlaskaN1,Alaska,Alaska,SRS16196544,Ursus arctos
AlaskaW1,Alaska,Alaska,SRS16196543,Ursus arctos
AlaskaSW3,Alaska,Aleutian,SRS16196542,Ursus arctos
AlaskaSW2,Alaska,Aleutian,SRS16196541,Ursus arctos
AlaskaSW1,Alaska,Aleutian,SRS16196540,Ursus arctos
Kodiak6,Alaska,Alaska,SRS16196539,Ursus arctos
Alaska9,Alaska,Alaska,SRS16196538,Ursus arctos
US8,USA,USA,SRS16196537,Ursus arctos
US6,USA,USA,SRS16196536,Ursus arctos
US3,USA,USA,SRS16196535,Ursus arctos
US2,USA,USA,SRS16196534,Ursus arctos
US1,USA,USA,SRS16196533,Ursus arctos
Ural6,Russia,"Urals, Russia",SRS16196532,Ursus arctos
Ural5,Russia,"Urals, Russia",SRS16196531,Ursus arctos
Ural4,Russia,"Urals, Russia",SRS16196530,Ursus arctos
Ural3,Russia,"Urals, Russia",SRS16196529,Ursus arctos
Ural2,Russia,"Urals, Russia",SRS16196528,Ursus arctos
Alaska7,Alaska,Alaska,SRS16196527,Ursus arctos
Ural1,Russia,"Urals, Russia",SRS16196526,Ursus arctos
TurkeyMartin,Turkey,Turkey,SRS16196524,Ursus arctos
SouthNorway7,Norway,Norway,SRS16196525,Ursus arctos
SouthNorway6,Norway,Norway,SRS16196523,Ursus arctos
SouthNorway5,Norway,Norway,SRS16196522,Ursus arctos
SouthNorway4,Norway,Norway,SRS16196521,Ursus arctos
SouthNorway3,Norway,Norway,SRS16196520,Ursus arctos
SouthNorway2,Norway,Norway,SRS16196519,Ursus arctos
SouthNorway1,Norway,Norway,SRS16196518,Ursus arctos
Russia_Kola3,Russia,"Kola peninsula, Russia",SRS16196517,Ursus arctos
FarEast8,Far East,Far East,SRS16196516,Ursus arctos
ABC9,Alaska,Alaska,SRS16196515,Ursus arctos
FarEast7,Far East,Far East,SRS16196514,Ursus arctos
FarEast6,Far East,Far East,SRS16196513,Ursus arctos
FarEast4,Far East,Far East,SRS16196512,Ursus arctos
FarEast3,Far East,Far East,SRS16196511,Ursus arctos
FarEast2,Far East,Far East,SRS16196510,Ursus arctos
FarEast1,Far East,Far East,SRS16196509,Ursus arctos
Estonia2,Estonia,Estonia,SRS16196508,Ursus arctos
Estonia1,Estonia,Estonia,SRS16196507,Ursus arctos
CentralRussia5,Russia,Central Russia,SRS16196505,Ursus arctos
CentralRussia4,Russia,Central Russia,SRS16196506,Ursus arctos
ABC8,Alaska,Alaska,SRS16196504,Ursus arctos
CentralRussia3,Russia,Central Russia,SRS16196503,Ursus arctos
CentralRussia2,Russia,Central Russia,SRS16196502,Ursus arctos
CentralRussia1,Russia,Central Russia,SRS16196501,Ursus arctos
Canada9,Canada,Canada,SRS16196500,Ursus arctos
Canada8,Canada,Canada,SRS16196499,Ursus arctos
Canada7,Canada,Canada,SRS16196498,Ursus arctos
Canada6,Canada,Canada,SRS16196497,Ursus arctos
Canada5,Canada,Canada,SRS16196496,Ursus arctos
Canada4,Canada,Canada,SRS16196495,Ursus arctos
Canada3,Canada,Canada,SRS16196494,Ursus arctos
ABC7,Alaska,Alaska,SRS16196493,Ursus arctos
Canada2,Canada,Canada,SRS16196492,Ursus arctos
Canada12,Canada,Canada,SRS16196491,Ursus arctos
Canada11,Canada,Canada,SRS16196490,Ursus arctos
Canada10,Canada,Canada,SRS16196489,Ursus arctos
Canada1,Canada,Canada,SRS16196488,Ursus arctos
Amur5,Russia,Yakutia,SRS16196487,Ursus arctos
Amur4,Russia,Sakhalin,SRS16196486,Ursus arctos
Amur3,Russia,"Amur, Russia",SRS16196485,Ursus arctos
Amur2,Russia,"Amur, Russia",SRS16196484,Ursus arctos
Amur1,Russia,"Amur, Russia",SRS16196483,Ursus arctos
ABC16,Alaska,Alaska,SRS16196482,Ursus arctos
ABC15,Alaska,Alaska,SRS16196481,Ursus arctos
Kirkenes,Norway,Norway,SAMN32301362,Ursus arctos
ABC11,Alaska,Alaska,SAMN03247209,Ursus arctos
ABC12 ,Alaska,Alaska,SAMN03252406,Ursus arctos
Sweden3 ,Sweden,Sweden,SAMN03252407,Ursus arctos
HokkaidoCentral1,Far East,Japan,SAMD00282813,Ursus arctos
HokkaidoSouth2,Far East,Japan,SAMD00282812,Ursus arctos
HokkaidoCentral2 ,Far East,Japan,SAMD00282814,Ursus arctos
HokkaidoEast2 ,Far East,Japan,SAMD00282816,Ursus arctos
HokkaidoSouth1 ,Far East,Japan,SAMD00282811,Ursus arctos
HokkaidoEast1,Far East,Japan,SAMD00282815,Ursus arctos
ABC10 ,Alaska,Alaska,SAMN02045560,Ursus arctos
Alaska3,Alaska,Alaska,SAMN02045559,Ursus arctos
Amur6,Russia,Sakhalin,SAMD00759918,Ursus arctos
Etorofu,Russia,Etorofu,SAMD00759919,Ursus arctos
China1,Tibet,Tibet,SAMD00759920,Ursus arctos
IranOshnoviyeh,Russia,Oshnoviyeh,SAMD00759921,Ursus arctos
Kazakhstan,Kazakhstan,Kazakhstan,SAMD00759922,Ursus arctos
FarEast12,Russia,"Siberia, Kolymskyi mts",SAMD00759923,Ursus arctos
China2,Tibet,Tibet,SAMD00759924,Ursus arctos
Sochi,Russia,Sochi,SAMD00759925,Ursus arctos
CentralRussia6,Russia,Krasnojarsk,SAMD00759926,Ursus arctos
CX113C,Slovenia (P),Slovenia,CX113C,Ursus arctos
CX113E,Slovenia (P),Slovenia,CX113E,Ursus arctos
CX115H,Slovenia (P),Slovenia,CX115H,Ursus arctos
CX1138,Slovenia (P),Slovenia,CX1138,Ursus arctos