accession	breed	scientific_name
SAMN02843125	Holstein	Bos taurus
SAMN02843120	Holstein	Bos taurus
SAMN02843154	Holstein	Bos taurus
SAMN02841119	Holstein	Bos taurus
SAMN02843170	Holstein	Bos taurus
SAMN09519627	Holstein	Bos taurus
SAMN09519605	Holstein	Bos taurus
SAMEA3682654	Holstein	Bos taurus
SAMEA19871668	Holstein	Bos taurus
SAMEA4644737	Holstein	Bos taurus
SAMEA3113485	Holstein	Bos taurus
SAMEA4644729	Holstein	Bos taurus
SAMEA4644732	Holstein	Bos taurus
SAMEA4644731	Holstein	Bos taurus
SAMEA19325668	Holstein	Bos taurus
SAMEA4644746	Holstein	Bos taurus
SAMEA4644736	Holstein	Bos taurus
SAMEA5159879	Holstein	Bos taurus
SAMEA4644753	Holstein	Bos taurus
SAMEA3682653	Holstein	Bos taurus
SAMEA4644738	Holstein	Bos taurus
SAMEA5159857	Holstein	Bos taurus
SAMEA4644748	Holstein	Bos taurus
SAMEA5159855	Holstein	Bos taurus
SAMEA19874668	Holstein	Bos taurus
SAMEA32990668	Holstein	Bos taurus
SAMEA5159859	Holstein	Bos taurus
SAMEA32992168	Holstein	Bos taurus
SAMEA5159860	Holstein	Bos taurus
SAMEA4644733	Holstein	Bos taurus
SAMEA4644761	Holstein	Bos taurus
SAMEA5714977	Holstein	Bos taurus
SAMEA5714978	Holstein	Bos taurus
SAMEA32983918	Holstein	Bos taurus
SAMN02842716	Holstein	Bos taurus
SAMN02843114	Holstein	Bos taurus
SAMEA33004168	Holstein	Bos taurus
SAMN02843126	Holstein	Bos taurus
SAMEA5159878	Holstein	Bos taurus
SAMEA33000418	Holstein	Bos taurus
SAMEA32983168	Holstein	Bos taurus
SAMEA32984668	Holstein	Bos taurus
SAMEA4644759	Holstein	Bos taurus
SAMEA4644751	Holstein	Bos taurus
SAMEA3706830	Holstein	Bos taurus
SAMN02843140	Holstein	Bos taurus
SAMN02843180	Holstein	Bos taurus
SAMN02843171	Holstein	Bos taurus
SAMN02843155	Holstein	Bos taurus
SAMN02843181	Holstein	Bos taurus
SAMN02843164	Holstein	Bos taurus
SAMN02843172	Holstein	Bos taurus
SAMN02843127	Holstein	Bos taurus
SAMN02843165	Holstein	Bos taurus
SAMEA5159880	Holstein	Bos taurus
SAMN02843173	Holstein	Bos taurus
SAMN02843174	Holstein	Bos taurus
SAMN02843175	Holstein	Bos taurus
SAMEA5159833	Holstein	Bos taurus
SAMN02843128	Holstein	Bos taurus
SAMEA32995918	Holstein	Bos taurus
SAMN09519613	Holstein	Bos taurus
SAMN09519612	Holstein	Bos taurus
SAMN09519632	Holstein	Bos taurus
SAMN09519629	Holstein	Bos taurus
SAMN09519620	Holstein	Bos taurus
SAMN09519611	Holstein	Bos taurus
SAMN09519609	Holstein	Bos taurus
SAMN09519606	Holstein	Bos taurus
SAMN09519603	Holstein	Bos taurus
SAMN02843129	Holstein	Bos taurus
SAMN02843176	Holstein	Bos taurus
SAMN02843166	Holstein	Bos taurus
SAMN02843182	Holstein	Bos taurus
SAMN02843110	Holstein	Bos taurus
SAMN02843130	Holstein	Bos taurus
SAMEA5159882	Holstein	Bos taurus
SAMN02843167	Holstein	Bos taurus
SAMEA5159881	Holstein	Bos taurus
SAMN02843177	Holstein	Bos taurus
SAMN02843178	Holstein	Bos taurus
SAMEA5159883	Holstein	Bos taurus
SAMEA4644767	Holstein	Bos taurus
SAMEA5160021	Holstein	Bos taurus
SAMEA4644726	Holstein	Bos taurus
SAMEA32986918	Holstein	Bos taurus
SAMEA32995168	Holstein	Bos taurus
SAMEA32996668	Holstein	Bos taurus
SAMN10598549	Holstein	Bos taurus
SAMN10598568	Holstein	Bos taurus
SAMEA5159856	Holstein	Bos taurus
SAMEA5159858	Holstein	Bos taurus
SAMEA4644747	Holstein	Bos taurus
SAMN02671482	Holstein	Bos taurus
SAMN02671596	Holstein	Bos taurus
SAMEA19311418	Holstein	Bos taurus
SAMEA19312168	Holstein	Bos taurus
SAMEA19316668	Holstein	Bos taurus
SAMEA19317418	Holstein	Bos taurus
SAMEA19318168	Holstein	Bos taurus
SAMEA19320418	Holstein	Bos taurus
SAMEA19321168	Holstein	Bos taurus
SAMEA19321918	Holstein	Bos taurus
SAMEA19322668	Holstein	Bos taurus
SAMEA19846918	Holstein	Bos taurus
SAMEA19851418	Holstein	Bos taurus
SAMEA19864168	Holstein	Bos taurus
SAMEA19865668	Holstein	Bos taurus
SAMEA19867168	Holstein	Bos taurus
SAMEA19876918	Holstein	Bos taurus
SAMEA4560543	Holstein	Bos taurus
SAMEA5415492	Holstein	Bos taurus
SAMEA5415494	Holstein	Bos taurus
SAMEA5415496	Holstein	Bos taurus
SAMEA5415500	Holstein	Bos taurus
SAMEA5415501	Holstein	Bos taurus
SAMEA5415502	Holstein	Bos taurus
SAMEA4560540	Holstein	Bos taurus
SAMEA5946758	Holstein	Bos taurus
SAMEA5946759	Holstein	Bos taurus
SAMEA4780233	Holstein x Freisian	Bos taurus
SAMEA4780234	Holstein x Freisian	Bos taurus
SAMEA4780235	Holstein x Freisian	Bos taurus
SAMEA4780236	Holstein x Freisian	Bos taurus
SAMEA4780237	Holstein x Freisian	Bos taurus
SAMEA4780238	Holstein x Freisian	Bos taurus
SAMEA4780239	Holstein x Freisian	Bos taurus
SAMEA4780240	Holstein x Freisian	Bos taurus
SAMEA4780241	Holstein x Freisian	Bos taurus
SAMEA4780242	Holstein x Freisian	Bos taurus
SAMEA4780243	Holstein x Freisian	Bos taurus
SAMEA4780244	Holstein x Freisian	Bos taurus
SAMEA4780245	Holstein x Freisian	Bos taurus
SAMEA4780246	Holstein x Freisian	Bos taurus
SAMEA4780247	Holstein x Freisian	Bos taurus
SAMEA4780248	Holstein x Freisian	Bos taurus
SAMEA4780249	Holstein x Freisian	Bos taurus
SAMEA4780250	Holstein x Freisian	Bos taurus
SAMEA4780251	Holstein x Freisian	Bos taurus
SAMEA4780252	Holstein x Freisian	Bos taurus
SAMEA4780253	Holstein x Freisian	Bos taurus
SAMEA4780254	Holstein x Freisian	Bos taurus
SAMEA4780255	Holstein x Freisian	Bos taurus
SAMEA4780256	Holstein x Freisian	Bos taurus
SAMEA4780257	Holstein x Freisian	Bos taurus
SAMEA4780258	Holstein x Freisian	Bos taurus
SAMEA4780259	Holstein x Freisian	Bos taurus
SAMEA4780260	Holstein x Freisian	Bos taurus
SAMEA4780262	Holstein x Freisian	Bos taurus
SAMEA4780263	Holstein x Freisian	Bos taurus
SAMEA4780264	Holstein x Freisian	Bos taurus
SAMEA4780265	Holstein x Freisian	Bos taurus
SAMEA4780266	Holstein x Freisian	Bos taurus
SAMEA4780267	Holstein x Freisian	Bos taurus
SAMEA4780268	Holstein x Freisian	Bos taurus
SAMEA4780269	Holstein x Freisian	Bos taurus
SAMEA4780270	Holstein x Freisian	Bos taurus
SAMEA4780271	Holstein x Freisian	Bos taurus
SAMEA4780272	Holstein x Freisian	Bos taurus
SAMEA4780273	Holstein x Freisian	Bos taurus
SAMEA4780274	Holstein x Freisian	Bos taurus
SAMEA4780275	Holstein x Freisian	Bos taurus
SAMEA4780276	Holstein x Freisian	Bos taurus
SAMEA4780277	Holstein x Freisian	Bos taurus
SAMEA4780278	Holstein x Freisian	Bos taurus
SAMEA4780279	Holstein x Freisian	Bos taurus
SAMEA4780280	Holstein x Freisian	Bos taurus
SAMEA4780281	Holstein x Freisian	Bos taurus
SAMEA4780282	Holstein x Freisian	Bos taurus
SAMEA4780283	Holstein x Freisian	Bos taurus
SAMEA4780284	Holstein x Freisian	Bos taurus
SAMEA4780285	Holstein x Freisian	Bos taurus
SAMEA4780286	Holstein x Freisian	Bos taurus
SAMEA4780288	Holstein x Freisian	Bos taurus
SAMEA4780289	Holstein x Freisian	Bos taurus
SAMEA4780290	Holstein x Freisian	Bos taurus
SAMEA4780291	Holstein x Freisian	Bos taurus
SAMEA4780292	Holstein x Freisian	Bos taurus
SAMEA4780293	Holstein x Freisian	Bos taurus
SAMEA4780295	Holstein x Freisian	Bos taurus
SAMEA4780296	Holstein x Freisian	Bos taurus
SAMEA4780297	Holstein x Freisian	Bos taurus
SAMEA4780298	Holstein x Freisian	Bos taurus
SAMEA4780299	Holstein x Freisian	Bos taurus
SAMEA4780300	Holstein x Freisian	Bos taurus
SAMEA4780301	Holstein x Freisian	Bos taurus
SAMEA4780302	Holstein x Freisian	Bos taurus
SAMEA4780303	Holstein x Freisian	Bos taurus
SAMEA4780305	Holstein x Freisian	Bos taurus
SAMEA4780306	Holstein x Freisian	Bos taurus
SAMEA4780307	Holstein x Freisian	Bos taurus
SAMEA4780308	Holstein x Freisian	Bos taurus
SAMEA4780309	Holstein x Freisian	Bos taurus
SAMEA4780310	Holstein x Freisian	Bos taurus
SAMEA4780311	Holstein x Freisian	Bos taurus
SAMEA4780312	Holstein x Freisian	Bos taurus
SAMEA4780313	Holstein x Freisian	Bos taurus
SAMEA4780314	Holstein x Freisian	Bos taurus
SAMEA4780315	Holstein x Freisian	Bos taurus
SAMEA4780317	Holstein x Freisian	Bos taurus
SAMEA4780318	Holstein x Freisian	Bos taurus
SAMEA4780319	Holstein x Freisian	Bos taurus
SAMEA4780320	Holstein x Freisian	Bos taurus
SAMN06282405	Holstein x Friesian	Bos taurus
SAMN06282409	Holstein x Friesian	Bos taurus
SAMN06282410	Holstein x Friesian	Bos taurus
SAMN06282411	Holstein x Friesian	Bos taurus
SAMN06282412	Holstein x Friesian	Bos taurus
SAMN06282413	Holstein x Friesian	Bos taurus
SAMN06282414	Holstein x Friesian	Bos taurus
SAMN06282434	Holstein x Friesian	Bos taurus
SAMN06282407	Holstein x Friesian	Bos taurus
SAMN06282408	Holstein x Friesian	Bos taurus
SAMN06282415	Holstein x Friesian	Bos taurus
SAMN06282416	Holstein x Friesian	Bos taurus
SAMN06282417	Holstein x Friesian	Bos taurus
SAMN06282418	Holstein x Friesian	Bos taurus
SAMN06282419	Holstein x Friesian	Bos taurus
SAMN06282420	Holstein x Friesian	Bos taurus
SAMN06282421	Holstein x Friesian	Bos taurus
SAMN06282422	Holstein x Friesian	Bos taurus
SAMN06282423	Holstein x Friesian	Bos taurus
SAMN06282424	Holstein x Friesian	Bos taurus
SAMN06282425	Holstein x Friesian	Bos taurus
SAMN06282426	Holstein x Friesian	Bos taurus
SAMN06282427	Holstein x Friesian	Bos taurus
SAMN06282428	Holstein x Friesian	Bos taurus
SAMN06282429	Holstein x Friesian	Bos taurus
SAMN06282430	Holstein x Friesian	Bos taurus
SAMN06282431	Holstein x Friesian	Bos taurus
SAMN06282432	Holstein x Friesian	Bos taurus
SAMN06282433	Holstein x Friesian	Bos taurus
SAMN06282435	Holstein x Friesian	Bos taurus
SAMN06282436	Holstein x Friesian	Bos taurus
SAMN10598550	Holstein x Hereford	Bos taurus
SAMN10598551	Holstein x Hereford	Bos taurus
SAMN10598552	Holstein x Hereford	Bos taurus
SAMN10598553	Holstein x Hereford	Bos taurus
SAMN10598554	Holstein x Hereford	Bos taurus
SAMN10598555	Holstein x Hereford	Bos taurus
SAMN10598571	Holstein x Hereford	Bos taurus
SAMN10598572	Holstein x Hereford	Bos taurus
SAMN10598575	Holstein x Hereford	Bos taurus
SAMN04978250	Jersey	Bos taurus
SAMN04978251	Jersey	Bos taurus
SAMN04978252	Jersey	Bos taurus
SAMN04978253	Jersey	Bos taurus
SAMN04978254	Jersey	Bos taurus
SAMN04978255	Jersey	Bos taurus
SAMN04978256	Jersey	Bos taurus
SAMN04978257	Jersey	Bos taurus
SAMN04978258	Jersey	Bos taurus
SAMN04978259	Jersey	Bos taurus
SAMN10131257	Kangayam	Bos indicus
SAMN04545570	Kenana	Bos indicus
SAMN04545571	Kenana	Bos indicus
SAMN04545573	Kenana	Bos indicus
SAMN04545574	Kenana	Bos indicus
SAMN04545575	Kenana	Bos indicus
SAMN04545576	Kenana	Bos indicus
SAMN04545577	Kenana	Bos indicus
SAMN04545578	Kenana	Bos indicus
SAMN04545579	Kenana	Bos indicus
SAMD00013963	Kuchinoshima	Bos taurus
SAMN09213443	La Reina	Bos taurus
SAMEA5159763	Limousin	Bos taurus
SAMEA32985418	Limousin	Bos taurus
SAMN02843095	Limousin	Bos taurus
SAMEA19867918	Limousin	Bos taurus
SAMN02843065	Maine Anjou	Bos taurus
SAMN02843100	Maine Anjou	Bos taurus
SAMN02843136	Maine Anjou	Bos taurus
SAMN02843137	Maine Anjou	Bos taurus
SAMN02843069	Maine Anjou	Bos taurus
SAMN02843138	Maine Anjou	Bos taurus
SAMN02843064	Maine Anjou	Bos taurus
SAMD00013606	Mishima	Bos taurus
SAMD00013607	Mishima	Bos taurus
SAMD00013608	Mishima	Bos taurus
SAMD00013609	Mishima	Bos taurus
SAMD00013610	Mishima	Bos taurus
SAMD00013611	Mishima	Bos taurus
SAMD00013612	Mishima	Bos taurus
SAMD00013613	Mishima	Bos taurus
SAMN04545560	NDama	Bos taurus
SAMN04545561	NDama	Bos taurus
SAMN04545562	NDama	Bos taurus
SAMN04545563	NDama	Bos taurus
SAMN04545564	NDama	Bos taurus
SAMN04545565	NDama	Bos taurus
SAMN04545566	NDama	Bos taurus
SAMN04545567	NDama	Bos taurus
SAMN04545568	NDama	Bos taurus
SAMN04545569	NDama	Bos taurus
SAMN10486398	Nelore	Bos indicus
SAMN10486399	Nelore	Bos indicus
SAMN10486400	Nelore	Bos indicus
SAMN10486401	Nelore	Bos indicus
SAMN01163918	Nelore	Bos taurus
SAMEA5064546	Nordic Red cattle	Bos taurus
SAMEA5064547	Nordic Red cattle	Bos taurus
SAMEA33001168	Normande	Bos taurus
SAMN04545538	Ogaden	Bos indicus
SAMN04545539	Ogaden	Bos indicus
SAMN04545534	Ogaden	Bos indicus
SAMN04545537	Ogaden	Bos indicus
SAMN04545533	Ogaden	Bos indicus
SAMN04545534	Ogaden	Bos indicus
SAMN04545537	Ogaden	Bos indicus
SAMN04545538	Ogaden	Bos indicus
SAMN04545539	Ogaden	Bos indicus
SAMN01915349	Piedmontese	Bos taurus
SAMN01915345	Piedmontese	Bos taurus
SAMN02941216	Piedmontese	Bos taurus
SAMN02941219	Piedmontese	Bos taurus
SAMN02941218	Piedmontese	Bos taurus
SAMN02941217	Piedmontese	Bos taurus
SAMN02941215	Piedmontese	Bos taurus
SAMEA5159836	Piemontese	Bos taurus
SAMEA19324918	Piemontese	Bos taurus
SAMEA33001918	Piemontese	Bos taurus
SAMN01915350	Red Angus	Bos taurus
SAMN02941207	Red Angus	Bos taurus
SAMN02843147	Red Angus	Bos taurus
SAMN02839613	Red Angus	Bos taurus
SAMN02843148	Red Angus	Bos taurus
SAMN02842702	Red Angus	Bos taurus
SAMN02839614	Red Angus	Bos taurus
SAMN02843149	Red Angus	Bos taurus
SAMN01915346	Red Angus	Bos taurus
SAMN02941209	Red Angus	Bos taurus
SAMEA32987668	Romagnola	Bos taurus
SAMEA32988418	Romagnola	Bos taurus
SAMEA32989168	Romagnola	Bos taurus
SAMEA2422242	Romagnola	Bos taurus
SAMEA19876168	Romagnola	Bos taurus
SAMEA946958	Sahiwal	Bos indicus
SAMN02941220	Salers	Bos taurus
SAMEA5714970	Scottish Highland	Bos taurus
SAMEA5159831	Scottish Highland	Bos taurus
SAMEA5159830	Scottish Highland	Bos taurus
SAMEA5159829	Scottish Highland	Bos taurus
SAMEA19849918	Scottish Highland	Bos taurus
SAMEA19873918	Scottish Highland	Bos taurus
SAMEA4644752	Shorthorn	Bos taurus
SAMN02941201	Simmental	Bos taurus
SAMN02941179	Simmental	Bos taurus
SAMN02941223	Simmental	Bos taurus
SAMN02941180	Simmental	Bos taurus
SAMN02941181	Simmental	Bos taurus
SAMN02941182	Simmental	Bos taurus
SAMN02941183	Simmental	Bos taurus
SAMN02941184	Simmental	Bos taurus
SAMN02941185	Simmental	Bos taurus
SAMN02941186	Simmental	Bos taurus
SAMN02941187	Simmental	Bos taurus
SAMN02941231	Simmental	Bos taurus
SAMEA19869418	Simmental	Bos taurus
SAMEA5160153	Simmental	Bos taurus
SAMEA19868668	Simmental	Bos taurus
SAMEA19870168	Simmental	Bos taurus
SAMEA4644744	Simmental	Bos taurus
SAMEA4644745	Simmental	Bos taurus
SAMEA5159876	Simmental	Bos taurus
SAMEA5159877	Simmental	Bos taurus
SAMEA33004918	Simmental	Bos taurus
SAMEA33669418	Simmental	Bos taurus
SAMN02941230	Simmental	Bos taurus
SAMN02941229	Simmental	Bos taurus
SAMN02941188	Simmental	Bos taurus
SAMN02941224	Simmental	Bos taurus
SAMN02941222	Simmental	Bos taurus
SAMN02941190	Simmental	Bos taurus
SAMN02941191	Simmental	Bos taurus
SAMN02941192	Simmental	Bos taurus
SAMN02941193	Simmental	Bos taurus
SAMN02941194	Simmental	Bos taurus
SAMN02941195	Simmental	Bos taurus
SAMN02941196	Simmental	Bos taurus
SAMN02941197	Simmental	Bos taurus
SAMN02941198	Simmental	Bos taurus
SAMN02941199	Simmental	Bos taurus
SAMN02941225	Simmental	Bos taurus
SAMN02941200	Simmental	Bos taurus
SAMN02941202	Simmental	Bos taurus
SAMEA19309168	Simmental	Bos taurus
SAMEA19309918	Simmental	Bos taurus
SAMEA19310668	Simmental	Bos taurus
SAMEA19852168	Simmental	Bos taurus
SAMEA19852918	Simmental	Bos taurus
SAMEA19853668	Simmental	Bos taurus
SAMEA19875418	Simmental	Bos taurus
SAMEA19877668	Simmental	Bos taurus
SAMEA5415499	Simmental	Bos taurus
SAMEA5564710	Simmental	Bos taurus
SAMEA5564711	Simmental	Bos taurus
SAMEA5564713	Simmental	Bos taurus
SAMEA5564714	Simmental	Bos taurus
SAMEA5564715	Simmental	Bos taurus
SAMEA5564717	Simmental	Bos taurus
SAMEA5564718	Simmental	Bos taurus
SAMEA5564719	Simmental	Bos taurus
SAMEA5564720	Simmental	Bos taurus
SAMEA5564721	Simmental	Bos taurus
SAMEA5564722	Simmental	Bos taurus
SAMEA5564724	Simmental	Bos taurus
SAMEA5564725	Simmental	Bos taurus
SAMEA5566449	Simmental	Bos taurus
SAMEA4560534	Simmental	Bos taurus
SAMEA5159762	Simmental x Holstein	Bos taurus
SAMN08242323	Tibetan	Bos taurus
SAMN08242327	Tibetan	Bos taurus
SAMN08242330	Tibetan	Bos taurus
SAMEA5159846	Tuxer	Bos taurus
SAMEA5159889	Tyrolean Grey	Bos taurus
SAMEA5716181	Tyrolean Grey	Bos taurus
SAMEA5159888	Tyrolean Grey	Bos taurus
SAMEA5714980	Tyrolean Grey	Bos taurus
SAMEA5159887	Tyrolean Grey	Bos taurus
SAMEA5714981	Tyrolean Grey	Bos taurus
SAMEA3682652	Tyrolean Grey	Bos taurus
SAMEA2357050	Tyrolean Grey	Bos taurus
SAMEA5564729	Tyrolean Grey	Bos taurus
SAMEA5564730	Tyrolean Grey	Bos taurus
SAMEA5564731	Tyrolean Grey	Bos taurus
SAMEA5564732	Tyrolean Grey	Bos taurus
SAMEA5564733	Tyrolean Grey	Bos taurus
SAMEA5564734	Tyrolean Grey	Bos taurus
SAMEA5564735	Tyrolean Grey	Bos taurus
SAMEA5564736	Tyrolean Grey	Bos taurus
SAMN10131258	Vechur	Bos indicus
SAMEA4827187	Western Fincattle	Bos taurus
SAMEA4827188	Western Fincattle	Bos taurus
SAMEA4827189	Western Fincattle	Bos taurus
SAMEA4827190	Western Fincattle	Bos taurus
SAMEA4827191	Western Fincattle	Bos taurus
SAMEA4827192	Yakutian cattle	Bos taurus
SAMEA4827193	Yakutian cattle	Bos taurus
SAMEA4827194	Yakutian cattle	Bos taurus
SAMEA4827195	Yakutian cattle	Bos taurus
SAMEA4827196	Yakutian cattle	Bos taurus
SAMN08242174	Zebu	Bos indicus
SAMN08242175	Zebu	Bos indicus
SAMN08242227	Zebu	Bos indicus
SAMN08242230	Zebu	Bos indicus
SAMN08242176	Zebu	Bos indicus
SAMN08242177	Zebu	Bos indicus
SAMN08242223	Zebu	Bos indicus
SAMN08242224	Zebu	Bos indicus
SAMN08242225	Zebu	Bos indicus
SAMN08242231	Zebu	Bos indicus
SAMN08242232	Zebu	Bos indicus
SAMN08242229	Zebu	Bos indicus